,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-4,5-19,20-39,40-59,>60,En_cuarentena,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos
0,44295,46,0,0,46,0,0.0,"{0: [16419, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [12296, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15580, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3524, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10995, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14384, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10088, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5304, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,0,0.0,0.0,0.0,0,0,0,0,0,0,0
1,44019,322,0,0,322,0,0.8571428571428571,"{0: [16304, 0, 0, 136, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [12244, 0, 0, 64, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15471, 0, 0, 122, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3499, 0, 0, 31, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10930, 0, 0, 74, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14284, 0, 0, 112, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10031, 0, 0, 68, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5275, 0, 0, 37, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,1,49.812070093141784,74.3810243341377,50.44538914323087,142,0,0,0,0,0,0
2,43764,577,0,0,577,0,0.9202772963604853,"{0: [16184, 0, 0, 256, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [12209, 0, 0, 99, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15371, 0, 0, 222, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3477, 0, 0, 53, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10860, 0, 0, 144, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14213, 0, 0, 183, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9974, 0, 0, 125, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5240, 0, 0, 72, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,2,49.77551250535622,74.42200221014411,50.61638212940619,257,0,0,0,0,0,0
3,43496,845,0,0,845,0,0.9455621301775148,"{0: [16050, 0, 0, 390, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [12181, 0, 0, 127, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15265, 0, 0, 328, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3455, 0, 0, 75, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10791, 0, 0, 213, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14138, 0, 0, 258, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9897, 0, 0, 202, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5215, 0, 0, 97, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,3,49.76633364155071,74.09864459529555,50.5188877111477,269,0,0,0,0,0,0
4,43257,1084,0,0,1084,0,0.9575645756457565,"{0: [15937, 0, 0, 503, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [12132, 0, 0, 176, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15188, 0, 0, 405, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3437, 0, 0, 93, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10737, 0, 0, 267, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14056, 0, 0, 340, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9843, 0, 0, 256, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5184, 0, 0, 128, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,4,49.584086962404996,74.25477548995286,50.65961525450486,241,0,0,0,0,0,0
5,43250,1091,0,0,1091,0,0.9578368469294225,"{0: [15931, 0, 0, 509, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [12131, 0, 0, 177, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15188, 0, 0, 405, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3436, 0, 0, 94, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10734, 0, 0, 270, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14055, 0, 0, 341, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9841, 0, 0, 258, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5184, 0, 0, 128, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39300, 988, 0, 0, 0]",44341,5,4.5187072912203154,6.765837486750412,4.586883471279402,135,0,0,0,0,0,0
6,43148,1182,0,0,1182,11,0.7013536379018612,"{0: [15897, 0, 0, 534, 19, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0], 2: [12109, 0, 0, 197, 12, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 1: [15142, 0, 0, 451, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3425, 0, 0, 104, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[10715, 0, 0, 288, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[14015, 0, 0, 377, 22, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[9819, 0, 0, 276, 12, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[5174, 0, 0, 137, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[39207, 1071, 0, 0, 10]",44341,6,4.532577073137728,6.67810829706141,4.5527390000225525,50,0,0,0,0,0,0
7,42796,1528,0,0,1528,17,0.6793193717277487,"{0: [15733, 0, 0, 696, 94, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0], 2: [12056, 0, 0, 248, 30, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 1: [15007, 0, 0, 584, 81, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[3396, 0, 0, 132, 20, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[10627, 0, 0, 374, 53, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[13904, 0, 0, 486, 67, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[9734, 0, 0, 360, 43, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[5135, 0, 0, 176, 22, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[38882, 1390, 0, 0, 16]",44341,7,4.536478654067341,6.667215443945784,4.558918382535351,205,0,0,0,0,0,0
8,42357,1958,0,0,1958,26,0.6823289070480082,"{0: [15549, 0, 0, 877, 146, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0], 2: [11992, 0, 0, 310, 62, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 1: [14816, 0, 0, 771, 183, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]}","[3366, 0, 0, 161, 24, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[10538, 0, 0, 461, 87, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[13756, 0, 0, 632, 128, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]","[9612, 0, 0, 480, 106, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[5085, 0, 0, 224, 46, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[38484, 1779, 0, 0, 25]",44341,8,4.529149094517489,6.803455041609346,4.556099321170024,391,0,0,0,0,0,0
9,41798,2505,0,0,2505,38,0.6215568862275449,"{0: [15282, 0, 0, 1138, 241, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0], 2: [11941, 0, 0, 359, 66, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 1: [14575, 0, 0, 1008, 224, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]}","[3315, 0, 0, 210, 52, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[10401, 0, 0, 596, 119, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[13563, 0, 0, 823, 172, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[9503, 0, 0, 586, 118, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0]","[5016, 0, 0, 290, 70, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[37964, 2287, 0, 0, 37]",44341,9,4.525991745788322,6.785661126271397,4.577456530073746,531,0,0,0,0,0,0
