,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-4,5-19,20-39,40-59,>60,En_cuarentena,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos
0,11075,10,0,0,10,0,0.0,"{1: [3845, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [4120, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3110, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2720, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3601, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1434, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",11085,0,0.0,0.0,0.0,0,0,0,0,0,0,0
1,11050,35,0,0,35,0,0.7142857142857143,"{1: [3830, 0, 0, 19, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [4114, 0, 0, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3106, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[841, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2713, 0, 0, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3592, 0, 0, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2474, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1430, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",11085,1,13.205142083897158,19.982859720342805,13.447992783040144,15,0,0,0,0,0,0
2,11041,44,0,0,44,0,0.7727272727272727,"{1: [3827, 0, 0, 22, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [4110, 0, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3104, 0, 0, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[841, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2713, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3587, 0, 0, 19, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2471, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1429, 0, 0, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",11085,2,13.22679296346414,19.90572846188543,13.507171853856564,16,0,0,0,0,0,0
3,11028,57,0,0,57,0,0.8245614035087719,"{1: [3819, 0, 0, 30, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [4106, 0, 0, 18, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3103, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[841, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2709, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3583, 0, 0, 23, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2467, 0, 0, 11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1428, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",11085,3,13.252683806946324,19.966080288678395,13.488407758231844,7,0,0,0,0,0,0
4,11003,82,0,0,82,0,0.8780487804878049,"{1: [3807, 0, 0, 42, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [4098, 0, 0, 26, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3098, 0, 0, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[839, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2704, 0, 0, 19, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3573, 0, 0, 33, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2461, 0, 0, 17, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1426, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",11085,4,13.222372575552548,19.976995940460082,13.443572395128552,19,0,0,0,0,0,0
5,10992,93,0,0,93,0,0.8924731182795699,"{1: [3801, 0, 0, 48, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [4094, 0, 0, 30, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3097, 0, 0, 15, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[839, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2701, 0, 0, 22, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3570, 0, 0, 36, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2457, 0, 0, 21, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1425, 0, 0, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10015, 85, 0, 0, 0]",11085,5,1.1719440685611187,1.7617501127649977,1.1804239963915202,17,0,0,0,0,0,0
6,10985,99,0,0,99,1,0.7171717171717171,"{1: [3796, 0, 0, 52, 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 0: [4093, 0, 0, 31, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3096, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[839, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2699, 0, 0, 23, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[3567, 0, 0, 39, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2455, 0, 0, 23, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1425, 0, 0, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10008, 92, 0, 0, 0]",11085,6,1.1659900766801985,1.7990076680198466,1.1850248082995039,15,0,0,0,0,0,0
7,10981,100,0,0,100,4,0.57,"{1: [3795, 0, 0, 52, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 0: [4090, 0, 0, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 2: [3096, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[839, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2698, 0, 0, 23, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[3566, 0, 0, 39, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2454, 0, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1424, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[10004, 93, 0, 0, 3]",11085,7,1.1911592241768154,1.782679296346414,1.1882724402345513,3,0,0,0,0,0,0
8,10972,106,0,0,106,7,0.32075471698113206,"{1: [3792, 0, 0, 55, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 0: [4085, 0, 0, 36, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 2: [3095, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[839, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2697, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[3563, 0, 0, 41, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[2451, 0, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1422, 0, 0, 12, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9996, 99, 0, 0, 5]",11085,8,1.1779882724402346,1.789445196211096,1.1688768606224629,4,0,0,0,0,0,0
9,10964,113,0,0,113,8,0.35398230088495575,"{1: [3792, 0, 0, 55, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0], 0: [4077, 0, 0, 43, 5, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0], 2: [3095, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[839, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2696, 0, 0, 24, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[3560, 0, 0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[2449, 0, 0, 29, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1420, 0, 0, 14, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[9988, 106, 0, 0, 6]",11085,9,1.164276048714479,1.7963915200721696,1.1735678845286424,9,0,0,0,0,0,0
