,Susceptibles,Total infectados,Graves,Críticos,Leves,Recuperados,Rt,Recuento_zonas,0-4,5-19,20-39,40-59,>60,En_cuarentena,Vivos,Día,Contactos_prom_trabajo,Contactos_prom_transporte,Contactos_prom_casa,Nuevos_infectados,Detectados,En_testing,En_cama,En_UCI,Detectados_por_intervencion,#Intervenidos
0,44296,45,0,0,45,0,0.0,"{2: [12291, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [16471, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15534, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3395, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10927, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14633, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9921, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5420, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,0,0.0,0.0,0.0,0,0,0,0,0,0,0
1,44003,338,0,0,338,0,0.8668639053254438,"{2: [12241, 0, 0, 62, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [16341, 0, 0, 152, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15421, 0, 0, 124, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3369, 0, 0, 32, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10863, 0, 0, 70, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14532, 0, 0, 116, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9853, 0, 0, 79, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5386, 0, 0, 41, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,1,50.171940190794075,74.27473444441938,51.09625403125775,157,0,0,0,0,0,0
2,43722,619,0,0,619,0,0.9273021001615509,"{2: [12194, 0, 0, 109, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [16213, 0, 0, 280, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15315, 0, 0, 230, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3345, 0, 0, 56, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10799, 0, 0, 134, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14450, 0, 0, 198, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9776, 0, 0, 156, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5352, 0, 0, 75, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,2,50.22890778286462,74.54029002503326,50.97751516655015,270,0,0,0,0,0,0
3,43448,893,0,0,893,0,0.9496080627099664,"{2: [12156, 0, 0, 147, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [16081, 0, 0, 412, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15211, 0, 0, 334, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3331, 0, 0, 70, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10716, 0, 0, 217, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14369, 0, 0, 279, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9710, 0, 0, 222, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5322, 0, 0, 105, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,3,50.290746712974446,74.26160889470242,51.0225299384317,291,0,0,0,0,0,0
4,43164,1177,0,0,1177,0,0.9617672047578589,"{2: [12117, 0, 0, 186, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [15941, 0, 0, 552, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15106, 0, 0, 439, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3307, 0, 0, 94, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10642, 0, 0, 291, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14278, 0, 0, 370, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9650, 0, 0, 282, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5287, 0, 0, 140, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",44341,4,50.194312261789314,74.65636769581201,51.07000293182382,270,0,0,0,0,0,0
5,43148,1193,0,0,1193,0,0.9622799664710813,"{2: [12115, 0, 0, 188, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0: [15936, 0, 0, 557, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], 1: [15097, 0, 0, 448, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}","[3307, 0, 0, 94, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10638, 0, 0, 295, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[14276, 0, 0, 372, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9648, 0, 0, 284, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5279, 0, 0, 148, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[39285, 1062, 0, 0, 0]",44341,5,4.520534042985048,6.681806905572721,4.564736925193388,148,0,0,0,0,0,0
6,42944,1391,0,0,1391,6,0.8598130841121495,"{2: [12077, 0, 0, 225, 12, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], 0: [15863, 0, 0, 627, 36, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 1: [15004, 0, 0, 539, 41, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]}","[3294, 0, 0, 107, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10584, 0, 0, 347, 23, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[14219, 0, 0, 426, 27, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[9599, 0, 0, 333, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5248, 0, 0, 178, 17, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[39101, 1240, 0, 0, 6]",44341,6,4.507724228140998,6.602219165106786,4.589003405426129,89,0,0,0,0,0,0
7,42536,1792,0,0,1792,13,0.7455357142857143,"{2: [12012, 0, 0, 288, 61, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0], 0: [15744, 0, 0, 743, 102, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0], 1: [14780, 0, 0, 761, 172, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]}","[3252, 0, 0, 147, 29, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[10483, 0, 0, 447, 90, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[14083, 0, 0, 560, 93, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[9517, 0, 0, 414, 81, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[5201, 0, 0, 224, 42, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[38725, 1610, 0, 0, 12]",44341,7,4.506483841140254,6.640738819602625,4.592183306646219,335,0,0,0,0,0,0
8,41988,2324,0,0,2324,29,0.6518932874354562,"{2: [11930, 0, 0, 365, 77, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0], 0: [15556, 0, 0, 923, 140, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0], 1: [14502, 0, 0, 1036, 237, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]}","[3209, 0, 0, 188, 43, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]","[10347, 0, 0, 581, 101, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[13903, 0, 0, 736, 168, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[9407, 0, 0, 519, 84, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]","[5122, 0, 0, 300, 58, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[38225, 2094, 0, 0, 28]",44341,8,4.540808732324486,6.68266390022778,4.537989670959157,454,0,0,0,0,0,0
9,41207,3094,0,0,3094,40,0.6658047834518422,"{2: [11819, 0, 0, 473, 87, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0], 0: [15263, 0, 0, 1209, 260, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0], 1: [14125, 0, 0, 1412, 318, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]}","[3154, 0, 0, 242, 50, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[10132, 0, 0, 796, 180, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","[13650, 0, 0, 984, 213, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0]","[9231, 0, 0, 692, 135, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[5040, 0, 0, 380, 87, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]","[37509, 2799, 0, 0, 39]",44341,9,4.500417221082069,6.662253895942807,4.58918382535351,665,0,0,0,0,0,0
